text,priority
Where can I find my delivery information?,LOW
I need help. I urgently need to recover my account,HIGH
Please help me. How can I edit my personal information?,LOW
How do I modify my profile?,LOW
How can I track my order?,LOW
I need help. My refund has not arrived,MEDIUM
My account was hacked and I need help immediately,HIGH
Can you help me? The item in my order is incorrect,MEDIUM
Please help me. I cannot sign in despite using the correct password,HIGH
Please tell me: I cannot sign in despite using the correct password,HIGH
There is a fraudulent transaction on my account,HIGH
Can you help me? The refunded amount has not reached me,MEDIUM
Please tell me: My account was accessed by someone else,HIGH
Can you help me? I cannot sign in,MEDIUM
The login page shows an error,MEDIUM
Please help me. What payment methods do you accept?,LOW
Please tell me: What features does the service provide?,LOW
Please tell me: My account has unauthorized activity,HIGH
Please help me. The app is not opening,MEDIUM
What subscription options are available?,LOW
Please tell me: Someone changed my account password,HIGH
Please tell me: Can I pay using a credit card?,LOW
I need help. I urgently need access to my account,HIGH
Please help me. What features does the service provide?,LOW
Can you tell me how to reset my password?,LOW
Please help me. I received an unauthorized login alert,HIGH
I need help. The login page shows an error,MEDIUM
The payment was completed but my order is missing,HIGH
Please help me. My account has unauthorized activity,HIGH
I need help. My payment failed,MEDIUM
Please tell me: There is suspicious activity on my account,HIGH
Please help me. Where can I find my delivery information?,LOW
Can you help me? My payment failed,MEDIUM
Can you help me? I am still waiting for my package,MEDIUM
I urgently need access to my account,HIGH
Please tell me: Can you provide information about the platform?,LOW
What payment options are available?,LOW
Can you help me? I received an unauthorized login alert,HIGH
Please help me. How can I update my profile?,LOW
I need help. How can I upgrade my subscription?,LOW
Can you help me? How can I update my email?,LOW
Please help me. My shipment is taking longer than expected,MEDIUM
I need help. The payment keeps failing,MEDIUM
I am having trouble logging in,MEDIUM
Can you help me? How can I edit my personal information?,LOW
Can you help me? My order contains the wrong product,MEDIUM
Please tell me: My account was hacked and I need help immediately,HIGH
Can you help me? I cannot access my account after someone changed my password,HIGH
My account is being used by someone else,HIGH
I need help. How can I update my profile?,LOW
Please tell me: I am having trouble making a payment,MEDIUM
Can you help me? My shipment is late,MEDIUM
I need help. Can you explain the platform?,LOW
I need help. Someone is using my account,HIGH
I need help. The login page shows an error,MEDIUM
Please help me. How do I change my account information?,LOW
Please help me. How do I update my password?,LOW
Please help me. How does your customer service work?,LOW
How can I change my membership?,LOW
Please help me. How does the service work?,LOW
Someone made a payment using my card,HIGH
I lost access to my account because of suspicious activity,HIGH
I need help. Someone changed my account password,HIGH
I need help. What is included in the membership?,LOW
Please tell me: Money was deducted but the transaction failed,HIGH
Can you help me? My account access has been blocked,HIGH
I cannot sign in despite using the correct password,HIGH
I need help. What payment options are available?,LOW
Can you help me? My order contains the wrong product,MEDIUM
How can I change my membership?,LOW
How can I reset my password?,LOW
Please help me. The package delivery is delayed,MEDIUM
Can you help me? Can I update my phone number?,LOW
Please tell me: Can you tell me how to reset my password?,LOW
I need help. There is a problem with my order,MEDIUM
I need help. My package is delayed,MEDIUM
The app is not opening,MEDIUM
Can I update my phone number?,LOW
Can you help me? How can I update my profile?,LOW
The item in my order is incorrect,MEDIUM
Please tell me: My account has unauthorized activity,HIGH
I need help. Can I modify my service plan?,LOW
The login page is not working,MEDIUM
Can you help me? My shipment is late,MEDIUM
I need help. The payment keeps failing,MEDIUM
I need help. The delivery has been delayed,MEDIUM
I cannot access my account,HIGH
Please help me. The refunded amount has not reached me,MEDIUM
Can you help me? There is unauthorized access to my account,HIGH
Can you help me? How can I upgrade my subscription?,LOW
I need help. I cannot sign in despite using the correct password,HIGH
Can you help me? How can I reset my password?,LOW
I need help. I cannot access my account after someone changed my password,HIGH
Please help me. How can I reset my password?,LOW
Can I check my shipment status?,LOW
I need help. I cannot sign in,MEDIUM
I need help. I cannot sign in,MEDIUM
Please tell me: Where can I find my delivery information?,LOW
My order contains the wrong product,MEDIUM
I am still waiting for my package,MEDIUM
Please tell me: How can I edit my personal information?,LOW
Can you help me? How can I reset my password?,LOW
I need help. I received a different product,MEDIUM
Please help me. My account access has been blocked,HIGH
I need help. Where can I find my delivery information?,LOW
Please tell me: I don't recognize this transaction,HIGH
Please help me. My shipment is late,MEDIUM
I need help. Someone logged into my account,HIGH
I need help. I cannot sign in despite using the correct password,HIGH
Please tell me: How do I modify my profile?,LOW
Please help me. What features does the service provide?,LOW
Can you help me? I have not received my refund yet,MEDIUM
Can you help me? I see an unauthorized charge on my card,HIGH
Please tell me: There is suspicious activity on my account,HIGH
Please tell me: The login page shows an error,MEDIUM
Please help me. Someone logged into my account,HIGH
Please help me. The login page is not working,MEDIUM
"I forgot my password, how can I change it?",LOW
Can you help me? I have not received my refund yet,MEDIUM
How do I update my password?,LOW
Can you help me? Can I update my phone number?,LOW
I need help. The sign in page keeps failing,MEDIUM
Can you help me? My account is being used by someone else,HIGH
The login page is not working,MEDIUM
Please tell me: How can I change my membership?,LOW
Please tell me: Can I check my shipment status?,LOW
Can you help me? Do you accept debit cards?,LOW
I need help. I was charged twice for the same transaction,HIGH
I want to learn about the service,LOW
Can you help me? The sign in page keeps failing,MEDIUM
I need help. How can I upgrade my subscription?,LOW
How do I cancel my subscription?,LOW
The application keeps crashing,MEDIUM
Please tell me: Someone made a payment using my card,HIGH
I need help. Can you provide information about the platform?,LOW
Please tell me: Can you provide information about the platform?,LOW
Please tell me: There are duplicate charges on my account,HIGH
Please tell me: The payment keeps failing,MEDIUM
Please tell me: Can I cancel my plan?,LOW
Please help me. How do I change my email address?,LOW
Can you help me? I want to learn about the service,LOW
What subscription options are available?,LOW
Please help me. How does the service work?,LOW
My shipment is taking longer than expected,MEDIUM
Please tell me: Someone is using my account,HIGH
I need help. The delivery is taking too long,MEDIUM
Please help me. Money was deducted but the transaction failed,HIGH
I need help. My refund is delayed,MEDIUM
Please help me. My account has been taken over,HIGH
How much does the subscription cost?,LOW
Can you help me? I cannot complete my payment,MEDIUM
How does the service work?,LOW
Please help me. The application is showing an error,MEDIUM
Can you help me? Can I check my shipment status?,LOW
Please help me. How can I track my order?,LOW
Please tell me: I am still waiting for my package,MEDIUM
Please tell me: Can I change my account details?,LOW
Can you help me? How can I edit my personal information?,LOW
Please tell me: My order contains the wrong product,MEDIUM
Please help me. There are duplicate charges on my account,HIGH
Please help me. The checkout payment failed,MEDIUM
Please tell me: I see an unauthorized charge on my card,HIGH
Please tell me: How do I correct my account information?,LOW
I need help. What subscription options are available?,LOW
Please tell me: The transaction failed,MEDIUM
Can you help me? What payment methods do you accept?,LOW
Please help me. Can you provide information about the platform?,LOW
Please tell me: I would like information about the service,LOW
Can you help me? My refund has not arrived,MEDIUM
Can you help me? How can I change my membership?,LOW
Please help me. There is suspicious activity on my account,HIGH
Please help me. Can I modify my service plan?,LOW
Can you help me? What payment options are available?,LOW
Please tell me: I cannot access my account after someone changed my password,HIGH
I need help. I have not received my refund yet,MEDIUM
Can you help me? My payment was declined,MEDIUM
I need help. My payment was declined,MEDIUM
How do I update my password?,LOW
I cannot access my account,HIGH
What is included in the membership?,LOW
I need help. There is suspicious activity on my account,HIGH
Please help me. I have been locked out of my account,HIGH
Please help me. Where can I see my order?,LOW
Can you help me? I see an unauthorized charge on my card,HIGH
The app is not opening,MEDIUM
Please help me. I am still waiting for my package,MEDIUM
Please tell me: The system is not responding,MEDIUM
I cannot complete my payment,MEDIUM
Can you help me? My account has unauthorized activity,HIGH
How do I update my password?,LOW
Can you help me? How can I downgrade my plan?,LOW
Can you help me? How much does the subscription cost?,LOW
Please help me. The website is not working properly,MEDIUM
My account has unauthorized activity,HIGH
Please tell me: Can I modify my service plan?,LOW
Can you help me? The application is running into an error,MEDIUM
Please help me. The application is running into an error,MEDIUM
Please help me. How do I change my account information?,LOW
Please tell me: I was charged but my purchase failed,HIGH
I need help. My account security has been compromised,HIGH
Can you help me? The refunded amount has not reached me,MEDIUM
Can you help me? The delivery has been delayed,MEDIUM
I need help. My card payment did not go through,MEDIUM
Can you help me? How can I reset my password?,LOW
Please tell me: There is a fraudulent transaction on my account,HIGH
Can you help me? I have not received my refund yet,MEDIUM
Can you help me? Where can I find my delivery information?,LOW
My order has not arrived yet,MEDIUM
Can you help me? My order details are incorrect,MEDIUM
Please help me. I have not received my refund yet,MEDIUM
Can you help me? My account was accessed by someone else,HIGH
Can you help me? My account is being used by someone else,HIGH
Can you help me? My payment failed,MEDIUM
Please tell me: I received the wrong item,MEDIUM
Can you help me? I think someone has stolen my account,HIGH
Can you help me? What payment options are available?,LOW
Can you help me? The item in my order is incorrect,MEDIUM
Please help me. Someone is using my account,HIGH
Can you help me? My login attempt is failing,MEDIUM
Can you help me? I don't recognize this transaction,HIGH
Please tell me: How can I upgrade my subscription?,LOW
Please help me. My payment failed,MEDIUM
I need help. How do I change my account information?,LOW
I need help. The website keeps showing an error,MEDIUM
I need help. How can I change my membership?,LOW
I need help. I cannot access my account after someone changed my password,HIGH
How do I correct my account information?,LOW
I need help. I cannot access my account and I think it was hacked,HIGH
The login page shows an error,MEDIUM
I need help. The payment was completed but my order is missing,HIGH
Can you help me? Can you tell me about the subscription?,LOW
Please tell me: I received an unauthorized login alert,HIGH
I need help. My order has not arrived yet,MEDIUM
Please help me. My money was deducted and I did not receive the service,HIGH
Please help me. The website keeps showing an error,MEDIUM
I am still waiting for my refund,MEDIUM
Please help me. The application is showing an error,MEDIUM
I need help. How do I modify my profile?,LOW
Can you provide information about the platform?,LOW
Please tell me: The delivery has been delayed,MEDIUM
My shipment is taking longer than expected,MEDIUM
I need help. I cannot access my account,HIGH
Can you help me? What are your subscription plans?,LOW
I need help. Someone changed my account password,HIGH
Can you help me? I am still waiting for my refund,MEDIUM
I need help. My login attempt is failing,MEDIUM
I received an unauthorized login alert,HIGH
I need help. My account has unauthorized activity,HIGH
Please tell me: The website keeps showing an error,MEDIUM
I need help. The payment keeps failing,MEDIUM
Can you help me? The website keeps showing an error,MEDIUM
Please tell me: I lost access to my account because of suspicious activity,HIGH
Please tell me: I noticed an unauthorized payment,HIGH
Please tell me: My card payment did not go through,MEDIUM
Please help me. What payment options are available?,LOW
Please help me. Can I pay using a credit card?,LOW
Can you help me? Which cards can I use?,LOW
The sign in page keeps failing,MEDIUM
Can you help me? How do I change my password?,LOW
Please tell me: My package is delayed,MEDIUM
I need help. Can I check my shipment status?,LOW
I need help. How can I edit my personal information?,LOW
I need help. I cannot access my account and I think it was hacked,HIGH
Please help me. How do I update my password?,LOW
Can you help me? How can I change my membership?,LOW
Can you help me? The sign in page keeps failing,MEDIUM
Please help me. How do I change my account information?,LOW
I was charged but my purchase failed,HIGH
Please tell me: I want to learn about the service,LOW
Can you help me? My account is being used by someone else,HIGH
Please help me. Can I update my phone number?,LOW
Please help me. What payment methods do you accept?,LOW
Can you help me? My account has been hacked,HIGH
Please tell me: My order has not arrived yet,MEDIUM
Please tell me: The login page shows an error,MEDIUM
Please tell me: What is included in the membership?,LOW
Can you help me? The package delivery is delayed,MEDIUM
I need help. How much is the premium plan?,LOW
I have been locked out of my account,HIGH
Can you help me? My account has been taken over,HIGH
Please help me. My account is being used by someone else,HIGH
Please tell me: My account security has been compromised,HIGH
Please tell me: I don't recognize this transaction,HIGH
Please help me. The website keeps showing an error,MEDIUM
I need help. I am completely locked out of my account,HIGH
Please help me. My card was used without my permission,HIGH
Can you help me? The refunded amount has not reached me,MEDIUM
I need help. I was charged twice for the same transaction,HIGH
I need help. How does the service work?,LOW
Please tell me: I cannot access my account after someone changed my password,HIGH
Please tell me: There is a problem with my order,MEDIUM
Please tell me: My card payment did not go through,MEDIUM
Can you help me? There is a problem with my order,MEDIUM
Please help me. Do you accept debit cards?,LOW
Please help me. My account is being used by someone else,HIGH
Can you help me? I received a different product,MEDIUM
How do I update my password?,LOW
Please help me. I have not received my refund yet,MEDIUM
Please help me. What features does the service provide?,LOW
Can you help me? What features does the service provide?,LOW
I need help. I lost access to my account because of suspicious activity,HIGH
Please tell me: How can I track my order?,LOW
Please tell me: How do I update my password?,LOW
I have been locked out of my account,HIGH
Please tell me: My account security has been compromised,HIGH
I need help. The package delivery is delayed,MEDIUM
I urgently need to recover my account,HIGH
Please tell me: Someone made a payment using my card,HIGH
Please tell me: The app is not opening,MEDIUM
Please tell me: My credit card payment failed,MEDIUM
I need help. The application is running into an error,MEDIUM
Can you help me? I received a different product,MEDIUM
Can you help me? I was charged twice for the same transaction,HIGH
I was charged multiple times,HIGH
Please help me. I urgently need access to my account,HIGH
Please tell me: How can I update my profile?,LOW
I need help. The transaction failed,MEDIUM
Please tell me: How do I update my password?,LOW
I need help. My refund has not arrived,MEDIUM
I need help. Can I check my shipment status?,LOW
Please help me. The application is showing an error,MEDIUM
Can you help me? I have not received my refund yet,MEDIUM
Please help me. Can you explain the platform?,LOW
Please tell me: There is a fraudulent transaction on my account,HIGH
Can you help me? How much does the subscription cost?,LOW
Can you help me? The sign in page keeps failing,MEDIUM
Please tell me: The delivery has been delayed,MEDIUM
I need help. My payment was taken but my order was not created,HIGH
Can you help me? I noticed an unauthorized payment,HIGH
I need help. My account is locked and I cannot log in,HIGH
Please help me. My account has unauthorized activity,HIGH
The refunded amount has not reached me,MEDIUM
I need help. The refunded amount has not reached me,MEDIUM
I need help. There is a fraudulent transaction on my account,HIGH
Please tell me: My payment was taken but my order was not created,HIGH
Where can I find my delivery information?,LOW
I think someone stole my credentials,HIGH
Can you help me? The login page is not working,MEDIUM
Please tell me: There is a fraudulent transaction on my account,HIGH
Please help me. The item in my order is incorrect,MEDIUM
