text,category
Please help me: why can't I access my account?,LOGIN
I need some information,GENERAL
I need support with this: i want to use the service,GENERAL
I need to check a refunded payment,REFUND
Please help me: i want to use the account service,GENERAL
Please help me with my subscription,SUBSCRIPTION
How can I cancel my purchase?,ORDER
Please help me: i cannot access my account through the sign in,LOGIN
I am waiting for my delivery,DELIVERY
I want to understand the customer service,GENERAL
Please help me: i cannot access my account through the sign-in page,LOGIN
I want to track my package,DELIVERY
The web page will not start,TECHNICAL
Please help me: i am unable to access my account,LOGIN
Please help with this website problem,TECHNICAL
The application will not work,TECHNICAL
I want to renew my plan,SUBSCRIPTION
I am having trouble with login,LOGIN
Can I correct my account details?,ACCOUNT
The app will not open,TECHNICAL
I need to recover my password,PASSWORD
The credit card payment keeps failing,PAYMENT
The checkout payment keeps failing,PAYMENT
Can I downgrade my service plan?,SUBSCRIPTION
How can I modify my order request?,ORDER
How do I upgrade my plan?,SUBSCRIPTION
How can I locate my parcel?,DELIVERY
I am unable to sign in,LOGIN
How do I replace my password?,PASSWORD
Please help me: i am having trouble with sign-in page,LOGIN
Please help me: the payment is not going through,PAYMENT
Please help me: please provide information about the customer service,GENERAL
The login keeps failing,LOGIN
There is an issue with my ordered item,ORDER
I have a general question,GENERAL
How do I cancel my plan?,SUBSCRIPTION
Can you help me recover my login password?,PASSWORD
I want to change my monthly plan,SUBSCRIPTION
How do I change my account password?,PASSWORD
Can I process my refund?,REFUND
Please help me with my order details,ORDER
How can I change my personal information?,ACCOUNT
I need to edit my account details,ACCOUNT
Can I change my subscription?,SUBSCRIPTION
Can I update my order request?,ORDER
I want to cancel my ordered item,ORDER
The system is showing an error,TECHNICAL
My service plan was renewed,SUBSCRIPTION
The system keeps crashing,TECHNICAL
How can I edit my account details?,ACCOUNT
I need help with an order,ORDER
I need to correct my account details,ACCOUNT
Please help with my payment,PAYMENT
Please help me: i am having trouble with sign-in,LOGIN
I have a problem with my membership,SUBSCRIPTION
I need assistance because the page is not loading.,TECHNICAL
I want to update my order,ORDER
I want to understand the account service,GENERAL
Can I cancel my order details?,ORDER
I have a problem with my service plan,SUBSCRIPTION
How do I request a refunded payment?,REFUND
The app will not load,TECHNICAL
My delivery is delayed,DELIVERY
Please help me: i am having trouble with login,LOGIN
Please help me: i am having trouble with account access,LOGIN
The web page will not load,TECHNICAL
I cannot make a debit card payment,PAYMENT
Can I cancel my monthly plan?,SUBSCRIPTION
I want to learn about the customer service,GENERAL
There is an issue with my purchase,ORDER
I am having a technical problem with the app,TECHNICAL
I cannot process a card payment,PAYMENT
Can I request my refunded payment?,REFUND
I want to change my phone number,ACCOUNT
Please help me: the login page is rejecting my attempt,LOGIN
I cannot access my account through the login page,LOGIN
I need help because I want to understand the service.,GENERAL
I need assistance because my order is incorrect.,ORDER
My sign in is not working,LOGIN
Please help me: i want to track my parcel,DELIVERY
Please help me: i want to learn about the service,GENERAL
Please help me: why can't I sign in?,LOGIN
I need assistance because there is a problem with my purchase.,ORDER
The software is very slow,TECHNICAL
How can I update my profile?,ACCOUNT
I need to change my email address,ACCOUNT
Please help me: can I cancel my membership?,SUBSCRIPTION
Please help me: please help with my debit card payment,PAYMENT
I cannot access my account through the login,LOGIN
Please help me: the account access keeps failing,LOGIN
Please help with my sign-in,LOGIN
Why was my payment declined?,PAYMENT
The software is showing an error,TECHNICAL
Can I update my email address?,ACCOUNT
Please help with my transaction,PAYMENT
How do I renew my service plan?,SUBSCRIPTION
How do I change my membership?,SUBSCRIPTION
Please help me: can someone help me with the account service?,GENERAL
How do I change my subscription?,SUBSCRIPTION
How do I replace my old password?,PASSWORD
I cannot sign in,LOGIN
I want to track my order request,ORDER
Please help me: the credit card payment is not going through,PAYMENT
How much does the monthly plan cost?,SUBSCRIPTION
How do I downgrade my plan?,SUBSCRIPTION
Please help me: how can I track my delivery?,DELIVERY
The web page is not working,TECHNICAL
Please help me: can someone help me with the service?,GENERAL
Why can't I sign in?,LOGIN
I want to update my order details,ORDER
Can you help me change my current password?,PASSWORD
Can I renew my membership?,SUBSCRIPTION
I want to cancel my subscription,SUBSCRIPTION
I forgot my login password,PASSWORD
I want to cancel my purchase,ORDER
Can someone help me with the service?,GENERAL
How do I cancel my membership?,SUBSCRIPTION
Please help me: i cannot complete a debit card payment,PAYMENT
Please help me: i want to use the platform,GENERAL
Please help me: there is an error in the web page,TECHNICAL
I need to get a returned payment,REFUND
How can I edit my profile?,ACCOUNT
I want to renew my subscription,SUBSCRIPTION
Can I check my refund request?,REFUND
I need help with a refund,REFUND
The application will not load,TECHNICAL
I am having trouble with login page,LOGIN
I want to check my parcel,DELIVERY
Can I edit my account details?,ACCOUNT
How do I get a refund request?,REFUND
I need assistance because I want to change my order.,ORDER
How can I locate my package?,DELIVERY
My checkout payment failed,PAYMENT
The application is very slow,TECHNICAL
How can I check my shipment?,DELIVERY
How does this support work?,GENERAL
Can I edit my account information?,ACCOUNT
The app stopped working,TECHNICAL
How much does the plan cost?,SUBSCRIPTION
How can I track my package?,DELIVERY
I need to update my email address,ACCOUNT
My ordered item is incorrect,ORDER
Please help with my card payment,PAYMENT
I want to understand the support,GENERAL
My delivery has not arrived,DELIVERY
I cannot retry a payment,PAYMENT
How can I correct my email address?,ACCOUNT
Please help me: i want to find my parcel,DELIVERY
I want to change my order request,ORDER
I want to modify my order request,ORDER
I need assistance because my email address changed.,ACCOUNT
My credit card payment was declined,PAYMENT
Please help me: i am having trouble with my credit card payment,PAYMENT
Can I change my phone number?,ACCOUNT
Please help me: i want to learn about the account service,GENERAL
I want to downgrade my service plan,SUBSCRIPTION
How do I get a refund?,REFUND
I cannot make a transaction,PAYMENT
I need to get a money back,REFUND
I want to track my purchase,ORDER
Please help me: please provide information about the support,GENERAL
Please help me: the system is showing an error,TECHNICAL
I cannot complete a debit card payment,PAYMENT
Can I change my order details?,ORDER
I received the wrong item in my purchase,ORDER
I need support with this: can you help me?,GENERAL
I want to cancel my monthly plan,SUBSCRIPTION
My order details is incorrect,ORDER
I have a question about the platform,GENERAL
Can I change my order request?,ORDER
I am waiting for my package,DELIVERY
How can I cancel my order?,ORDER
Please help me: the software is showing an error,TECHNICAL
I need help because I cannot use it.,PASSWORD
Can I modify my phone number?,ACCOUNT
I want to find my shipping,DELIVERY
The software stopped working,TECHNICAL
Please help me: i cannot access my account through the login page,LOGIN
I need to request a returned payment,REFUND
Can you help me update my password?,PASSWORD
Please check my money back,REFUND
Please help me: my account access is not working,LOGIN
Please help me with my purchase,ORDER
Please help me: i want to locate my shipment,DELIVERY
I want to understand the service,GENERAL
I have a question about the service,GENERAL
How do I receive a returned payment?,REFUND
Please help me: how can I locate my package?,DELIVERY
Can I renew my subscription?,SUBSCRIPTION
I need to change my new password,PASSWORD
Can I modify my ordered item?,ORDER
Can I modify my email address?,ACCOUNT
Please help me: i want to check my parcel,DELIVERY
The web page will not work,TECHNICAL
Can I update my purchase?,ORDER
I want to check my package,DELIVERY
Can I request my money back?,REFUND
Can I downgrade my monthly plan?,SUBSCRIPTION
Can I cancel my ordered item?,ORDER
The web page keeps crashing,TECHNICAL
I want to know about the platform,GENERAL
The login is rejecting my attempt,LOGIN
Please help me: i cannot submit a debit card payment,PAYMENT
Please help me: the application will not start,TECHNICAL
The website will not open,TECHNICAL
Please help me: my checkout payment was declined,PAYMENT
Where is my package?,DELIVERY
I have a question about the support,GENERAL
Why can't I authenticate?,LOGIN
Can you help me change my old password?,PASSWORD
Where is my shipment?,DELIVERY
I want to update my order request,ORDER
Can I request my refund request?,REFUND
I need assistance because I want to cancel my plan.,SUBSCRIPTION
I need help with an order request,ORDER
Please help me: i am waiting for my shipping,DELIVERY
I want to downgrade my membership,SUBSCRIPTION
Please get my refund,REFUND
Please help me: can I downgrade my plan?,SUBSCRIPTION
Please help me with my package,DELIVERY
Please help me: please provide information about the platform,GENERAL
I am waiting for my shipment,DELIVERY
I need to recover my account password,PASSWORD
Please help me: the website is very slow,TECHNICAL
Please help me with my shipment,DELIVERY
Can I update my ordered item?,ORDER
Please help me: why was my card payment declined?,PAYMENT
I need to check a refund request,REFUND
How do I recover my password?,PASSWORD
Can you help me update my login password?,PASSWORD
How do I upgrade my subscription?,SUBSCRIPTION
I need assistance because the system is behaving incorrectly.,TECHNICAL
The software will not load,TECHNICAL
Please help with my login page,LOGIN
I need support with this: i am having trouble with login,LOGIN
Can you help me restore my new password?,PASSWORD
How do I change my old password?,PASSWORD
Can I correct my phone number?,ACCOUNT
How do I request a returned payment?,REFUND
I am having a technical problem with the software,TECHNICAL
My debit card payment was declined,PAYMENT
I need help with my personal information,ACCOUNT
The checkout payment is not going through,PAYMENT
How can I locate my shipping?,DELIVERY
Please help me: i cannot retry a transaction,PAYMENT
How can I track my order?,ORDER
My order request is incorrect,ORDER
I need to request a money back,REFUND
How do I restore my old password?,PASSWORD
Can you help me replace my login password?,PASSWORD
I need assistance because I want my money back.,REFUND
My payment failed,PAYMENT
Please help me: the login page keeps failing,LOGIN
When will my shipment arrive?,DELIVERY
Why can't I access my account?,LOGIN
Please help me: the application is showing an error,TECHNICAL
There is an error in the web page,TECHNICAL
I cannot complete a checkout payment,PAYMENT
My shipment is delayed,DELIVERY
I need to change my phone number,ACCOUNT
I need support with this: i have a question about the account service,GENERAL
Can I receive my money back?,REFUND
The app is showing an error,TECHNICAL
How can I modify my account information?,ACCOUNT
Can you help me?,GENERAL
Please help with my sign in,LOGIN
Please help me: i cannot access my account through the sign-in,LOGIN
Please help me: how can I check my package?,DELIVERY
Please help me: please help with my transaction,PAYMENT
I want to locate my shipment,DELIVERY
Can I track my order details?,ORDER
I need support with this: i want to understand the account service,GENERAL
I need support with this: please provide information about the support,GENERAL
The account access keeps failing,LOGIN
Can you help me update my old password?,PASSWORD
I am having a technical problem with the website,TECHNICAL
I need to get a refunded payment,REFUND
Please help me: i want to use the customer service,GENERAL
I need help because it is not working.,PASSWORD
Can I renew my plan?,SUBSCRIPTION
Can I modify my purchase?,ORDER
I need assistance because the app stopped working.,TECHNICAL
Can I modify my personal information?,ACCOUNT
Can you help me replace my current password?,PASSWORD
I need to update my account details,ACCOUNT
I have a problem with my order,ORDER
Please help me: i cannot complete a payment,PAYMENT
Please help me: i keep getting blocked when I try to access my account,LOGIN
The software will not open,TECHNICAL
Can you help me reset my login password?,PASSWORD
My order is incorrect,ORDER
The application will not respond,TECHNICAL
Can I modify my order?,ORDER
Please help me: i want to know about the support,GENERAL
I need assistance because my package is late.,DELIVERY
I want to change my plan,SUBSCRIPTION
Please help me: the sign in keeps failing,LOGIN
My membership was renewed,SUBSCRIPTION
I want to locate my delivery,DELIVERY
I need to process a money back,REFUND
How do I get a returned payment?,REFUND
The web page is very slow,TECHNICAL
Please help me: i want to locate my parcel,DELIVERY
How can I change my email address?,ACCOUNT
Can you help me reset my new password?,PASSWORD
Can I receive my returned payment?,REFUND
How can I update my email address?,ACCOUNT
I want to change my membership,SUBSCRIPTION
Please help me: i cannot complete a card payment,PAYMENT
Please help me: there is an error in the app,TECHNICAL
I cannot make a checkout payment,PAYMENT
Where is my shipping?,DELIVERY
I keep getting blocked when I try to access my account,LOGIN
The website will not respond,TECHNICAL
I need help because I lost it.,PASSWORD
I am having trouble with my card payment,PAYMENT
How do I check a refund request?,REFUND
I cannot access my account through the account access,LOGIN
I want to use the service,GENERAL
Please provide information about the account service,GENERAL
The web page will not open,TECHNICAL
